date,dateStata,dateISO,quote_date,obs,year,month,quarter
1,01-02-1988,1988-02-01,198802,51065,1988,2,1
2,01-03-1988,1988-03-01,198803,49987,1988,3,1
3,01-04-1988,1988-04-01,198804,51716,1988,4,2
4,01-05-1988,1988-05-01,198805,51209,1988,5,2
5,01-06-1988,1988-06-01,198806,51126,1988,6,2
6,01-07-1988,1988-07-01,198807,50053,1988,7,3
8,01-09-1988,1988-09-01,198809,47264,1988,9,3
9,01-10-1988,1988-10-01,198810,50282,1988,10,4
10,01-11-1988,1988-11-01,198811,49281,1988,11,4
11,01-12-1988,1988-12-01,198812,51813,1988,12,4
12,01-01-1989,1989-01-01,198901,48551,1989,1,1
14,01-03-1989,1989-03-01,198903,57413,1989,3,1
15,01-04-1989,1989-04-01,198904,20572,1989,4,2
16,01-05-1989,1989-05-01,198905,57869,1989,5,2
17,01-06-1989,1989-06-01,198906,58028,1989,6,2
18,01-07-1989,1989-07-01,198907,56793,1989,7,3
19,01-08-1989,1989-08-01,198908,55705,1989,8,3
20,01-09-1989,1989-09-01,198909,56655,1989,9,3
21,01-10-1989,1989-10-01,198910,55533,1989,10,4
22,01-11-1989,1989-11-01,198911,57758,1989,11,4
23,01-12-1989,1989-12-01,198912,54852,1989,12,4
24,01-01-1990,1990-01-01,199001,54121,1990,1,1
25,01-02-1990,1990-02-01,199002,60253,1990,2,1
26,01-03-1990,1990-03-01,199003,60923,1990,3,1
27,01-04-1990,1990-04-01,199004,60819,1990,4,2
28,01-05-1990,1990-05-01,199005,61136,1990,5,2
29,01-06-1990,1990-06-01,199006,62259,1990,6,2
30,01-07-1990,1990-07-01,199007,59060,1990,7,3
31,01-08-1990,1990-08-01,199008,60067,1990,8,3
32,01-09-1990,1990-09-01,199009,61285,1990,9,3
33,01-10-1990,1990-10-01,199010,62163,1990,10,4
34,01-11-1990,1990-11-01,199011,65091,1990,11,4
35,01-12-1990,1990-12-01,199012,63911,1990,12,4
36,01-01-1991,1991-01-01,199101,57581,1991,1,1
37,01-02-1991,1991-02-01,199102,68575,1991,2,1
38,01-03-1991,1991-03-01,199103,71151,1991,3,1
39,01-04-1991,1991-04-01,199104,72853,1991,4,2
40,01-05-1991,1991-05-01,199105,74482,1991,5,2
41,01-06-1991,1991-06-01,199106,77477,1991,6,2
42,01-07-1991,1991-07-01,199107,78589,1991,7,3
43,01-08-1991,1991-08-01,199108,77622,1991,8,3
44,01-09-1991,1991-09-01,199109,84335,1991,9,3
45,01-10-1991,1991-10-01,199110,87414,1991,10,4
46,01-11-1991,1991-11-01,199111,92291,1991,11,4
47,01-12-1991,1991-12-01,199112,94958,1991,12,4
48,01-01-1992,1992-01-01,199201,90912,1992,1,1
49,01-02-1992,1992-02-01,199202,90929,1992,2,1
50,01-03-1992,1992-03-01,199203,90207,1992,3,1
51,01-04-1992,1992-04-01,199204,94520,1992,4,2
52,01-05-1992,1992-05-01,199205,96568,1992,5,2
53,01-06-1992,1992-06-01,199206,98437,1992,6,2
54,01-07-1992,1992-07-01,199207,98202,1992,7,3
55,01-08-1992,1992-08-01,199208,98595,1992,8,3
56,01-09-1992,1992-09-01,199209,100395,1992,9,3
57,01-10-1992,1992-10-01,199210,100846,1992,10,4
58,01-11-1992,1992-11-01,199211,101767,1992,11,4
59,01-12-1992,1992-12-01,199212,101025,1992,12,4
60,01-01-1993,1993-01-01,199301,101122,1993,1,1
61,01-02-1993,1993-02-01,199302,105604,1993,2,1
62,01-03-1993,1993-03-01,199303,107092,1993,3,1
63,01-04-1993,1993-04-01,199304,108050,1993,4,2
64,01-05-1993,1993-05-01,199305,111087,1993,5,2
65,01-06-1993,1993-06-01,199306,111072,1993,6,2
66,01-07-1993,1993-07-01,199307,111736,1993,7,3
67,01-08-1993,1993-08-01,199308,111577,1993,8,3
68,01-09-1993,1993-09-01,199309,113472,1993,9,3
69,01-10-1993,1993-10-01,199310,113796,1993,10,4
70,01-11-1993,1993-11-01,199311,113474,1993,11,4
71,01-12-1993,1993-12-01,199312,114457,1993,12,4
72,01-01-1994,1994-01-01,199401,113415,1994,1,1
73,01-02-1994,1994-02-01,199402,109226,1994,2,1
74,01-03-1994,1994-03-01,199403,109122,1994,3,1
75,01-04-1994,1994-04-01,199404,108186,1994,4,2
76,01-05-1994,1994-05-01,199405,119067,1994,5,2
77,01-06-1994,1994-06-01,199406,118695,1994,6,2
78,01-07-1994,1994-07-01,199407,120570,1994,7,3
79,01-08-1994,1994-08-01,199408,106634,1994,8,3
80,01-09-1994,1994-09-01,199409,116814,1994,9,3
81,01-10-1994,1994-10-01,199410,115660,1994,10,4
82,01-11-1994,1994-11-01,199411,117297,1994,11,4
83,01-12-1994,1994-12-01,199412,116315,1994,12,4
84,01-01-1995,1995-01-01,199501,115148,1995,1,1
85,01-02-1995,1995-02-01,199502,110133,1995,2,1
86,01-03-1995,1995-03-01,199503,113822,1995,3,1
87,01-04-1995,1995-04-01,199504,119189,1995,4,2
88,01-05-1995,1995-05-01,199505,121754,1995,5,2
89,01-06-1995,1995-06-01,199506,123384,1995,6,2
90,01-07-1995,1995-07-01,199507,123162,1995,7,3
91,01-08-1995,1995-08-01,199508,122786,1995,8,3
92,01-09-1995,1995-09-01,199509,123415,1995,9,3
93,01-10-1995,1995-10-01,199510,123492,1995,10,4
94,01-11-1995,1995-11-01,199511,124808,1995,11,4
95,01-12-1995,1995-12-01,199512,125879,1995,12,4
96,01-01-1996,1996-01-01,199601,135408,1996,1,1
97,01-02-1996,1996-02-01,199602,128879,1996,2,1
98,01-03-1996,1996-03-01,199603,130055,1996,3,1
99,01-04-1996,1996-04-01,199604,133400,1996,4,2
100,01-05-1996,1996-05-01,199605,137447,1996,5,2
101,01-06-1996,1996-06-01,199606,141075,1996,6,2
102,01-07-1996,1996-07-01,199607,141114,1996,7,3
103,01-08-1996,1996-08-01,199608,115650,1996,8,3
104,01-09-1996,1996-09-01,199609,115367,1996,9,3
105,01-10-1996,1996-10-01,199610,116066,1996,10,4
106,01-11-1996,1996-11-01,199611,115843,1996,11,4
107,01-12-1996,1996-12-01,199612,118682,1996,12,4
108,01-01-1997,1997-01-01,199701,115198,1997,1,1
109,01-02-1997,1997-02-01,199702,111216,1997,2,1
110,01-03-1997,1997-03-01,199703,110302,1997,3,1
111,01-04-1997,1997-04-01,199704,113726,1997,4,2
112,01-05-1997,1997-05-01,199705,116191,1997,5,2
113,01-06-1997,1997-06-01,199706,118238,1997,6,2
114,01-07-1997,1997-07-01,199707,117317,1997,7,3
115,01-08-1997,1997-08-01,199708,116676,1997,8,3
116,01-09-1997,1997-09-01,199709,117704,1997,9,3
117,01-10-1997,1997-10-01,199710,117099,1997,10,4
118,01-11-1997,1997-11-01,199711,117659,1997,11,4
119,01-12-1997,1997-12-01,199712,117241,1997,12,4
120,01-01-1998,1998-01-01,199801,115152,1998,1,1
121,01-02-1998,1998-02-01,199802,103493,1998,2,1
122,01-03-1998,1998-03-01,199803,105832,1998,3,1
123,01-04-1998,1998-04-01,199804,107681,1998,4,2
124,01-05-1998,1998-05-01,199805,109251,1998,5,2
125,01-06-1998,1998-06-01,199806,111444,1998,6,2
126,01-07-1998,1998-07-01,199807,109571,1998,7,3
127,01-08-1998,1998-08-01,199808,108215,1998,8,3
128,01-09-1998,1998-09-01,199809,109148,1998,9,3
129,01-10-1998,1998-10-01,199810,108530,1998,10,4
130,01-11-1998,1998-11-01,199811,110134,1998,11,4
131,01-12-1998,1998-12-01,199812,109954,1998,12,4
132,01-01-1999,1999-01-01,199901,76829,1999,1,1
133,01-02-1999,1999-02-01,199902,103893,1999,2,1
134,01-03-1999,1999-03-01,199903,106210,1999,3,1
135,01-04-1999,1999-04-01,199904,107934,1999,4,2
136,01-05-1999,1999-05-01,199905,109518,1999,5,2
137,01-06-1999,1999-06-01,199906,110967,1999,6,2
138,01-07-1999,1999-07-01,199907,109979,1999,7,3
139,01-08-1999,1999-08-01,199908,107986,1999,8,3
140,01-09-1999,1999-09-01,199909,108310,1999,9,3
141,01-10-1999,1999-10-01,199910,108626,1999,10,4
142,01-11-1999,1999-11-01,199911,108959,1999,11,4
143,01-12-1999,1999-12-01,199912,110478,1999,12,4
144,01-01-2000,2000-01-01,200001,105846,2000,1,1
145,01-02-2000,2000-02-01,200002,99732,2000,2,1
146,01-03-2000,2000-03-01,200003,103687,2000,3,1
147,01-04-2000,2000-04-01,200004,106130,2000,4,2
148,01-05-2000,2000-05-01,200005,107453,2000,5,2
149,01-06-2000,2000-06-01,200006,106540,2000,6,2
150,01-07-2000,2000-07-01,200007,107334,2000,7,3
151,01-08-2000,2000-08-01,200008,104159,2000,8,3
152,01-09-2000,2000-09-01,200009,104363,2000,9,3
153,01-10-2000,2000-10-01,200010,105335,2000,10,4
154,01-11-2000,2000-11-01,200011,105762,2000,11,4
155,01-12-2000,2000-12-01,200012,106142,2000,12,4
156,01-01-2001,2001-01-01,200101,102504,2001,1,1
157,01-02-2001,2001-02-01,200102,104038,2001,2,1
158,01-03-2001,2001-03-01,200103,104696,2001,3,1
159,01-04-2001,2001-04-01,200104,105771,2001,4,2
160,01-05-2001,2001-05-01,200105,108055,2001,5,2
161,01-06-2001,2001-06-01,200106,109596,2001,6,2
162,01-07-2001,2001-07-01,200107,108549,2001,7,3
163,01-08-2001,2001-08-01,200108,106934,2001,8,3
164,01-09-2001,2001-09-01,200109,105656,2001,9,3
165,01-10-2001,2001-10-01,200110,106902,2001,10,4
166,01-11-2001,2001-11-01,200111,107581,2001,11,4
167,01-12-2001,2001-12-01,200112,106644,2001,12,4
168,01-01-2002,2002-01-01,200201,104308,2002,1,1
169,01-02-2002,2002-02-01,200202,102172,2002,2,1
170,01-03-2002,2002-03-01,200203,104671,2002,3,1
171,01-04-2002,2002-04-01,200204,104217,2002,4,2
172,01-05-2002,2002-05-01,200205,106651,2002,5,2
173,01-06-2002,2002-06-01,200206,106955,2002,6,2
174,01-07-2002,2002-07-01,200207,106605,2002,7,3
175,01-08-2002,2002-08-01,200208,104997,2002,8,3
176,01-09-2002,2002-09-01,200209,103963,2002,9,3
177,01-10-2002,2002-10-01,200210,105493,2002,10,4
178,01-11-2002,2002-11-01,200211,106130,2002,11,4
179,01-12-2002,2002-12-01,200212,106032,2002,12,4
180,01-01-2003,2003-01-01,200301,103660,2003,1,1
181,01-02-2003,2003-02-01,200302,106569,2003,2,1
182,01-03-2003,2003-03-01,200303,107246,2003,3,1
183,01-04-2003,2003-04-01,200304,96279,2003,4,2
184,01-05-2003,2003-05-01,200305,99396,2003,5,2
185,01-06-2003,2003-06-01,200306,100902,2003,6,2
186,01-07-2003,2003-07-01,200307,101269,2003,7,3
187,01-08-2003,2003-08-01,200308,100534,2003,8,3
188,01-09-2003,2003-09-01,200309,101448,2003,9,3
189,01-10-2003,2003-10-01,200310,104513,2003,10,4
190,01-11-2003,2003-11-01,200311,109068,2003,11,4
191,01-12-2003,2003-12-01,200312,110012,2003,12,4
192,01-01-2004,2004-01-01,200401,107904,2004,1,1
193,01-02-2004,2004-02-01,200402,103439,2004,2,1
194,01-03-2004,2004-03-01,200403,105011,2004,3,1
195,01-04-2004,2004-04-01,200404,105509,2004,4,2
196,01-05-2004,2004-05-01,200405,107319,2004,5,2
197,01-06-2004,2004-06-01,200406,107774,2004,6,2
198,01-07-2004,2004-07-01,200407,106865,2004,7,3
199,01-08-2004,2004-08-01,200408,105050,2004,8,3
200,01-09-2004,2004-09-01,200409,104170,2004,9,3
201,01-10-2004,2004-10-01,200410,105471,2004,10,4
202,01-11-2004,2004-11-01,200411,106502,2004,11,4
203,01-12-2004,2004-12-01,200412,106782,2004,12,4
204,01-01-2005,2005-01-01,200501,103613,2005,1,1
205,01-02-2005,2005-02-01,200502,108851,2005,2,1
206,01-03-2005,2005-03-01,200503,109174,2005,3,1
207,01-04-2005,2005-04-01,200504,112133,2005,4,2
208,01-05-2005,2005-05-01,200505,111815,2005,5,2
209,01-06-2005,2005-06-01,200506,114133,2005,6,2
210,01-07-2005,2005-07-01,200507,112702,2005,7,3
211,01-08-2005,2005-08-01,200508,111794,2005,8,3
212,01-09-2005,2005-09-01,200509,111426,2005,9,3
213,01-10-2005,2005-10-01,200510,108500,2005,10,4
214,01-11-2005,2005-11-01,200511,104534,2005,11,4
215,01-12-2005,2005-12-01,200512,109077,2005,12,4
216,01-01-2006,2006-01-01,200601,104610,2006,1,1
217,01-02-2006,2006-02-01,200602,100465,2006,2,1
218,01-03-2006,2006-03-01,200603,103882,2006,3,1
219,01-04-2006,2006-04-01,200604,107567,2006,4,2
220,01-05-2006,2006-05-01,200605,109228,2006,5,2
221,01-06-2006,2006-06-01,200606,110194,2006,6,2
222,01-07-2006,2006-07-01,200607,107021,2006,7,3
223,01-08-2006,2006-08-01,200608,105147,2006,8,3
224,01-09-2006,2006-09-01,200609,105598,2006,9,3
225,01-10-2006,2006-10-01,200610,106345,2006,10,4
226,01-11-2006,2006-11-01,200611,107067,2006,11,4
227,01-12-2006,2006-12-01,200612,107974,2006,12,4
228,01-01-2007,2007-01-01,200701,94734,2007,1,1
229,01-02-2007,2007-02-01,200702,94993,2007,2,1
230,01-03-2007,2007-03-01,200703,99770,2007,3,1
231,01-04-2007,2007-04-01,200704,101168,2007,4,2
232,01-05-2007,2007-05-01,200705,102992,2007,5,2
233,01-06-2007,2007-06-01,200706,104456,2007,6,2
234,01-07-2007,2007-07-01,200707,103584,2007,7,3
235,01-08-2007,2007-08-01,200708,103198,2007,8,3
236,01-09-2007,2007-09-01,200709,103769,2007,9,3
237,01-10-2007,2007-10-01,200710,105114,2007,10,4
238,01-11-2007,2007-11-01,200711,107436,2007,11,4
239,01-12-2007,2007-12-01,200712,107286,2007,12,4
240,01-01-2008,2008-01-01,200801,102691,2008,1,1
241,01-02-2008,2008-02-01,200802,100511,2008,2,1
242,01-03-2008,2008-03-01,200803,105118,2008,3,1
243,01-04-2008,2008-04-01,200804,99887,2008,4,2
244,01-05-2008,2008-05-01,200805,100583,2008,5,2
245,01-06-2008,2008-06-01,200806,101446,2008,6,2
246,01-07-2008,2008-07-01,200807,102214,2008,7,3
247,01-08-2008,2008-08-01,200808,102314,2008,8,3
248,01-09-2008,2008-09-01,200809,102828,2008,9,3
249,01-10-2008,2008-10-01,200810,103994,2008,10,4
250,01-11-2008,2008-11-01,200811,104756,2008,11,4
251,01-12-2008,2008-12-01,200812,101854,2008,12,4
252,01-01-2009,2009-01-01,200901,98184,2009,1,1
253,01-02-2009,2009-02-01,200902,91764,2009,2,1
254,01-03-2009,2009-03-01,200903,97144,2009,3,1
255,01-04-2009,2009-04-01,200904,99211,2009,4,2
256,01-05-2009,2009-05-01,200905,100141,2009,5,2
257,01-06-2009,2009-06-01,200906,99984,2009,6,2
258,01-07-2009,2009-07-01,200907,100430,2009,7,3
259,01-08-2009,2009-08-01,200908,101010,2009,8,3
260,01-09-2009,2009-09-01,200909,102020,2009,9,3
261,01-10-2009,2009-10-01,200910,102962,2009,10,4
262,01-11-2009,2009-11-01,200911,104223,2009,11,4
263,01-12-2009,2009-12-01,200912,105319,2009,12,4
264,01-01-2010,2010-01-01,201001,101545,2010,1,1
265,01-02-2010,2010-02-01,201002,97889,2010,2,1
266,01-03-2010,2010-03-01,201003,102189,2010,3,1
267,01-04-2010,2010-04-01,201004,104566,2010,4,2
268,01-05-2010,2010-05-01,201005,105655,2010,5,2
269,01-06-2010,2010-06-01,201006,106532,2010,6,2
270,01-07-2010,2010-07-01,201007,107229,2010,7,3
271,01-08-2010,2010-08-01,201008,108091,2010,8,3
272,01-09-2010,2010-09-01,201009,108500,2010,9,3
273,01-10-2010,2010-10-01,201010,109466,2010,10,4
274,01-11-2010,2010-11-01,201011,109784,2010,11,4
275,01-12-2010,2010-12-01,201012,110303,2010,12,4
276,01-01-2011,2011-01-01,201101,107592,2011,1,1
277,01-02-2011,2011-02-01,201102,107243,2011,2,1
278,01-03-2011,2011-03-01,201103,111703,2011,3,1
279,01-04-2011,2011-04-01,201104,110135,2011,4,2
280,01-05-2011,2011-05-01,201105,110905,2011,5,2
281,01-06-2011,2011-06-01,201106,110923,2011,6,2
282,01-07-2011,2011-07-01,201107,110938,2011,7,3
283,01-08-2011,2011-08-01,201108,111624,2011,8,3
284,01-09-2011,2011-09-01,201109,112468,2011,9,3
285,01-10-2011,2011-10-01,201110,112689,2011,10,4
286,01-11-2011,2011-11-01,201111,112558,2011,11,4
287,01-12-2011,2011-12-01,201112,113770,2011,12,4
288,01-01-2012,2012-01-01,201201,112915,2012,1,1
289,01-02-2012,2012-02-01,201202,109908,2012,2,1
290,01-03-2012,2012-03-01,201203,112591,2012,3,1
291,01-04-2012,2012-04-01,201204,111722,2012,4,2
292,01-05-2012,2012-05-01,201205,112977,2012,5,2
293,01-06-2012,2012-06-01,201206,113464,2012,6,2
294,01-07-2012,2012-07-01,201207,112979,2012,7,3
295,01-08-2012,2012-08-01,201208,113779,2012,8,3
296,01-09-2012,2012-09-01,201209,113529,2012,9,3
297,01-10-2012,2012-10-01,201210,113193,2012,10,4
298,01-11-2012,2012-11-01,201211,112322,2012,11,4
299,01-12-2012,2012-12-01,201212,112522,2012,12,4
300,01-01-2013,2013-01-01,201301,112470,2013,1,1
301,01-02-2013,2013-02-01,201302,108915,2013,2,1
302,01-03-2013,2013-03-01,201303,112073,2013,3,1
303,01-04-2013,2013-04-01,201304,111932,2013,4,2
304,01-05-2013,2013-05-01,201305,112460,2013,5,2
305,01-06-2013,2013-06-01,201306,113182,2013,6,2
306,01-07-2013,2013-07-01,201307,110722,2013,7,3
307,01-08-2013,2013-08-01,201308,111818,2013,8,3
308,01-09-2013,2013-09-01,201309,111942,2013,9,3
309,01-10-2013,2013-10-01,201310,112357,2013,10,4
310,01-11-2013,2013-11-01,201311,111887,2013,11,4
311,01-12-2013,2013-12-01,201312,112786,2013,12,4
312,01-01-2014,2014-01-01,201401,113219,2014,1,1
313,01-02-2014,2014-02-01,201402,108434,2014,2,1
314,01-03-2014,2014-03-01,201403,111378,2014,3,1
315,01-04-2014,2014-04-01,201404,110845,2014,4,2
316,01-05-2014,2014-05-01,201405,111915,2014,5,2
317,01-06-2014,2014-06-01,201406,112673,2014,6,2
318,01-07-2014,2014-07-01,201407,110263,2014,7,3
319,01-08-2014,2014-08-01,201408,111493,2014,8,3
320,01-09-2014,2014-09-01,201409,111704,2014,9,3
321,01-10-2014,2014-10-01,201410,111105,2014,10,4
322,01-11-2014,2014-11-01,201411,111793,2014,11,4
323,01-12-2014,2014-12-01,201412,111959,2014,12,4
324,01-01-2015,2015-01-01,201501,112492,2015,1,1
325,01-02-2015,2015-02-01,201502,110362,2015,2,1
326,01-03-2015,2015-03-01,201503,113759,2015,3,1
327,01-04-2015,2015-04-01,201504,115935,2015,4,2
328,01-05-2015,2015-05-01,201505,116093,2015,5,2
329,01-06-2015,2015-06-01,201506,116584,2015,6,2
330,01-07-2015,2015-07-01,201507,114886,2015,7,3
331,01-08-2015,2015-08-01,201508,115736,2015,8,3
332,01-09-2015,2015-09-01,201509,115298,2015,9,3
333,01-10-2015,2015-10-01,201510,114195,2015,10,4
334,01-11-2015,2015-11-01,201511,114300,2015,11,4
335,01-12-2015,2015-12-01,201512,114817,2015,12,4
336,01-01-2016,2016-01-01,201601,115217,2016,1,1
337,01-02-2016,2016-02-01,201602,111438,2016,2,1
338,01-03-2016,2016-03-01,201603,114522,2016,3,1
339,01-04-2016,2016-04-01,201604,116360,2016,4,2
340,01-05-2016,2016-05-01,201605,116741,2016,5,2
341,01-06-2016,2016-06-01,201606,114788,2016,6,2
342,01-07-2016,2016-07-01,201607,115033,2016,7,3
343,01-08-2016,2016-08-01,201608,113719,2016,8,3
344,01-09-2016,2016-09-01,201609,114318,2016,9,3
345,01-10-2016,2016-10-01,201610,114629,2016,10,4
346,01-11-2016,2016-11-01,201611,114503,2016,11,4
347,01-12-2016,2016-12-01,201612,115774,2016,12,4
348,01-01-2017,2017-01-01,201701,115625,2017,1,1
349,01-02-2017,2017-02-01,201702,114063,2017,2,1
350,01-03-2017,2017-03-01,201703,115516,2017,3,1
351,01-04-2017,2017-04-01,201704,116889,2017,4,2
352,01-05-2017,2017-05-01,201705,117233,2017,5,2
353,01-06-2017,2017-06-01,201706,117390,2017,6,2
354,01-07-2017,2017-07-01,201707,117692,2017,7,3
355,01-08-2017,2017-08-01,201708,117018,2017,8,3
356,01-09-2017,2017-09-01,201709,117013,2017,9,3
357,01-10-2017,2017-10-01,201710,116488,2017,10,4
358,01-11-2017,2017-11-01,201711,116285,2017,11,4
359,01-12-2017,2017-12-01,201712,117146,2017,12,4
360,01-01-2018,2018-01-01,201801,116458,2018,1,1
361,01-02-2018,2018-02-01,201802,122581,2018,2,1
362,01-03-2018,2018-03-01,201803,125211,2018,3,1
363,01-04-2018,2018-04-01,201804,126219,2018,4,2
364,01-05-2018,2018-05-01,201805,126941,2018,5,2
365,01-06-2018,2018-06-01,201806,126695,2018,6,2
366,01-07-2018,2018-07-01,201807,124520,2018,7,3
367,01-08-2018,2018-08-01,201808,124079,2018,8,3
368,01-09-2018,2018-09-01,201809,124265,2018,9,3
369,01-10-2018,2018-10-01,201810,124191,2018,10,4
370,01-11-2018,2018-11-01,201811,123289,2018,11,4
371,01-12-2018,2018-12-01,201812,125381,2018,12,4
372,01-01-2019,2019-01-01,201901,125531,2019,1,1
373,01-02-2019,2019-02-01,201902,124018,2019,2,1
374,01-03-2019,2019-03-01,201903,127885,2019,3,1
375,01-04-2019,2019-04-01,201904,128853,2019,4,2
376,01-05-2019,2019-05-01,201905,128682,2019,5,2
377,01-06-2019,2019-06-01,201906,129075,2019,6,2
378,01-07-2019,2019-07-01,201907,128486,2019,7,3
379,01-08-2019,2019-08-01,201908,127479,2019,8,3
380,01-09-2019,2019-09-01,201909,127702,2019,9,3
381,01-10-2019,2019-10-01,201910,127514,2019,10,4
382,01-11-2019,2019-11-01,201911,127910,2019,11,4
383,01-12-2019,2019-12-01,201912,127767,2019,12,4
384,01-01-2020,2020-01-01,202001,127661,2020,1,1
385,01-02-2020,2020-02-01,202002,126570,2020,2,1
386,01-03-2020,2020-03-01,202003,118933,2020,3,1
387,01-04-2020,2020-04-01,202004,74251,2020,4,2
388,01-05-2020,2020-05-01,202005,85259,2020,5,2
389,01-06-2020,2020-06-01,202006,94010,2020,6,2
390,01-07-2020,2020-07-01,202007,102371,2020,7,3
391,01-08-2020,2020-08-01,202008,112987,2020,8,3
392,01-09-2020,2020-09-01,202009,116062,2020,9,3
393,01-10-2020,2020-10-01,202010,116826,2020,10,4
394,01-11-2020,2020-11-01,202011,82553,2020,11,4
395,01-12-2020,2020-12-01,202012,94790,2020,12,4
396,01-01-2021,2021-01-01,202101,94079,2021,1,1
397,01-02-2021,2021-02-01,202102,98049,2021,2,1
398,01-03-2021,2021-03-01,202103,100972,2021,3,1
399,01-04-2021,2021-04-01,202104,102092,2021,4,2
400,01-05-2021,2021-05-01,202105,95210,2021,5,2
401,01-06-2021,2021-06-01,202106,109408,2021,6,2
402,01-07-2021,2021-07-01,202107,122056,2021,7,3
403,01-08-2021,2021-08-01,202108,123477,2021,8,3
404,01-09-2021,2021-09-01,202109,122686,2021,9,3
405,01-10-2021,2021-10-01,202110,123103,2021,10,4
406,01-11-2021,2021-11-01,202111,123532,2021,11,4
407,01-12-2021,2021-12-01,202112,123086,2021,12,4
408,01-01-2022,2022-01-01,202201,123655,2022,1,1
409,01-02-2022,2022-02-01,202202,121928,2022,2,1
410,01-03-2022,2022-03-01,202203,125713,2022,3,1
411,01-04-2022,2022-04-01,202204,127157,2022,4,2
412,01-05-2022,2022-05-01,202205,127155,2022,5,2
413,01-06-2022,2022-06-01,202206,127526,2022,6,2
414,01-07-2022,2022-07-01,202207,127040,2022,7,3
415,01-08-2022,2022-08-01,202208,125392,2022,8,3
416,01-09-2022,2022-09-01,202209,125502,2022,9,3
417,01-10-2022,2022-10-01,202210,125741,2022,10,4
418,01-11-2022,2022-11-01,202211,124635,2022,11,4
419,01-12-2022,2022-12-01,202212,124630,2022,12,4
7,01-08-1988,1988-08-01,198808,0,1988,8,3
13,01-02-1989,1989-02-01,198902,0,1989,2,1
