item_id,description,pCount,pMean,pMedian,pMax,pMin
210102,LARGE LOAF-WHITE-UNSLICED-800G,53915,.92605585,.83999997,3.6900001,.34999999
210106,SIX BREAD ROLLS-WHITE/BROWN,62315,.80589956,.72000003,5.3400002,.1
210201,FLOUR-SELF-RAISING-1.5KG,58687,.75581491,.73000002,3.49,.090000004
210204,DRY SPAGHETTI OR PASTA 500G,80183,.70842099,.61000001,2.52,.12
210301,CREAM CRACKERS PACK 200G-300G,61527,.5049172,.34999999,2.5899999,.11
210302,PLAIN BISCUITS-200-300G,64994,.5861764,.49000001,2.3900001,.14
210403,HOME KILLED BEEF-LEAN MINCE KG,111410,5.2782001,4.7800002,17.5,.99000001
210406,HOME KLD BEEF-RUMP/POPES STEAK,107457,11.276166,9.8766975,42,2.6900001
210703,HOME KILLED PORK-LOIN CHOPS KG,101912,5.353425,4.98,18,1.58
210802,BACON-GAMMON-PER KG,99343,6.1375422,5.75,21.18,.99000001
211007,CANNED MEAT-STEWED STEAK,53350,1.7055067,1.52,3.7,.47999999
211011,INDIVIDUAL MEAT PIE,90949,.98099673,.77999997,6,.2
211501,CHEDDAR-HOME PRODUCED PER KG,63402,5.8540201,5.3400002,21,1.49
211901,TEA BAGS PKT OF 80 (230G-250G),66749,1.6090302,1.55,5.3899999,.41999999
212001,"FRUIT SQUASH, 750ML - 1.5LT",84793,1.0427835,.99000001,3.03,.20999999
212101,SUGAR -GRANULATED-WHITE-PER KG,86279,.79163831,.70999998,3.04,.34
212202,MINTS,63258,.33527189,.25,.99000001,.090000004
212211,CHOCOLATE 4,63896,.40986791,.34,1.09,.16
212214,FRUIT PASTILLES 2,60870,.40066651,.34,1,.12
212402,POTATO CRISPS 25G-50G,68495,.40714592,.31999999,1.25,.07
212504,FRESH VEG-CAULIFLOWER-EACH,120211,.84383577,.80000001,4,.1
212510,FRESH VEG-CUCUMBER-WHOLE,127783,.66420579,.60000002,8.5,.1
212511,FRESH VEG-LETTUCE-ICEBERG-EACH,124489,.71683306,.69,2.6400001,.1
212601,CANNED TOMATOES 390-400G,88177,.4760339,.40000001,2.29,.050000001
212603,"BAKED BEANS, 400-425G TIN",90422,.46622404,.38,1.89,.029999999
212608,CANNED SWEETCORN 198-340G,64407,.5587222,.5,1.89,.18000001
212709,ORANGES-CLASS 1-EACH,121714,.30010673,.28,1.99,.050000001
212806,PACKET OF PEANUTS 150-300G,57917,.7451151,.49000001,3.5,.14
212905,VEGETABLE PICKLE 280-520G,65815,.9726541,.82999998,3.5,.28
212910,CANNED SOUP-390-425G,63022,.59285802,.49000001,2.29,.19
213003,COFFEE-INSTANT 90 -100G JAR,86974,2.197017,1.98,6.5900002,.37
220214,STAFF RESTAURANT MAIN COURSE,87931,1.7928439,1.5,14.95,.13
220301,FISH & CHIPS TAKEAWAY,97236,3.461601,3.0999999,15.8,.73000002
220303,SANDWICH-TAKE-AWAY (COLD),124674,1.6813374,1.55,8.9499998,.22
220305,TEA -TAKE-AWAY,111113,.80515891,.60000002,3.3499999,.12
220310,POTATO CRISPS-INDIVIDUAL PACK,201142,.5251047,.46000001,2.25,.13
310102,DRAUGHT BITTER (PER PINT),209627,2.0311017,1.89,7.1999998,.68000001
310104,DRAUGHT STOUT PER PINT,208251,2.4665134,2.3,6.4000001,.64999998
310301,WHISKY (PER NIP) SPECIFY ML,216308,1.7204405,1.5,6.3000002,.55000001
310302,VODKA (PER NIP) SPECIFY ML,216755,1.7542276,1.5,6,.5
310401,WHISKY-70 CL BOTTLE,70593,12.303075,11.99,44,5.9899998
310403,VODKA-70 CL BOTTLE,90858,11.127943,10.89,40.889999,4.75
310405,BRANDY 70CL BOTTLE,67497,14.251605,12.95,45,4.79
310406,FORTIFIED WINE  (70-75CL),86923,6.4722443,5.98,69,1.79
320108,CIGARETTES 8,85410,4.6853576,3.0799999,19.389999,1.36
320205,5 CIGARS: SPECIFY BRAND,82710,2.8969445,2.1600001,18.450001,.92000002
410602,READY-MIXED FILLER-INT USE,73005,3.7633147,3.49,23.4,.49000001
410607,PAINT BRUSH-2INCH/5CM WIDTH,74012,3.562547,3.3499999,18.120001,.33000001
410611,DOOR HANDLE-PACK FOR ONE DOOR,66270,9.563139,8.5,86.980003,.5
410614,POWER DRILL-HAMMER ACTION,66757,51.535248,39.990002,515.03998,8
420103,SMOKELESS FUEL 50KG,61952,13.972563,11.35,41.900002,4.6399999
430101,DOUBLE WARDROBE,108871,432.54941,299,11802,1.36
430104,ARMCHAIR -UPHOLSTERED,99644,462.94006,395,4470,34.200001
430140,SOFA BED,85240,605.19757,499.98999,3999,35
430211,DUVET-DOUBLE TOG 10-13.5,105454,36.493,25.99,536,5.9899998
430304,ELECTRIC COOKER,65328,411.93036,390,2316,29.99
430307,ELECTRIC KETTLE - 1.5-1.7L,97087,26.513968,20.99,189,3.9400001
430407,"SMALL SAUCEPAN,MILK",71157,9.6489143,6.98,225,.75
430409,SCISSORS - HOUSEHOLD,68221,5.6739554,4.9899998,79.949997,.38
430503,BALL POINT,105707,.34986803,.25,10,.0099999998
430505,ALUMIN COOKING FOIL 290-300MM,63166,1.3286189,1.2,13.49,.19
430507,WASHING UP LIQUID 380-900ML,87652,.8873316,.79000002,3.5,.20999999
430509,HOUSEHOLD CLEANER CREAM/LIQUID,85842,1.2307906,1.0599999,4.5,.25
440101,DOMESTIC CLEANER HOURLY RATE,73503,8.7929325,8.8000002,55,1.5
440104,DRY CLEANING-MAN'S SUIT,109147,8.7367096,7.9899998,37.75,1.7
440105,DRIVING LESSON 1 HOUR,99814,18.634157,18.99,45,6.5
510104,MENS JACKET/COAT,109926,62.789089,40,1625,3
510106,MENS JEANS,121399,33.775028,24.99,565,2.4000001
510108,MEN'S JUMPER-KNITTED,112997,30.877502,20,525,2.5
510109,MEN'S FORMAL SHIRT-LONG SLEEVE,125620,22.936123,15,605,1
510206,WOMENS BLOUSE/SHIRT 1,110090,25.829626,19.99,820,1.25
510208,WOMEN'S FORMAL JACKET,108535,56.298634,39.990002,1590,3
510212,WOMEN'S JUMPER,110926,23.895512,17,520,1
510215,WOMENS BASIC PLAIN T-SHIRT,90296,10.437467,7,190,.75
510402,MEN'S PANTS/BOXER SHORTS,120302,6.1638927,4.3299999,70,.25
510405,WOMEN'S NIGHTDRESS/PYJAMAS,108275,17.054926,12.99,495,1
510406,WOMEN'S PANTS,119580,4.9097762,3,85,.2
510407,"BRA, CUP SIZE A-D RANGE",120137,13.186052,10,125,1
510413,MENS SOCKS 1 PAIR,120542,3.3590195,2.4000001,31,.31999999
510415,WOMEN'S TIGHTS,114240,3.0938182,2,45,.2
510419,MEN'S TIE,117841,12.621513,7.5,165,.5
510501,MENS SHOE FORMAL STYLE,121533,50.916428,39.990002,750,4
510506,WOMEN'S SANDALS,93642,32.412949,25,780,1
510507,BOY'S SHOES,110118,24.218483,20,145,2
510508,GIRL'S SHOES SCHOOL,110668,21.774498,18,119,2
520103,LADY'S UMBRELLA -FOLDING,88925,9.4565477,8,190,.99000001
520202,INDIGESTION TABLETS 16-24 PACK,63856,1.7059991,1.6900001,8.9499998,.52999997
520206,TAMPONS-PACK OF 10-20,83494,1.5686437,1.48,3.99,.38999999
520209,TOOTHPASTE (SPECIFY SIZE),62462,1.1853735,.98000002,6,.15000001
520213,TISSUES-LARGE SIZE BOX,65547,1.3642886,1.39,4.9899998,.28999999
520215,MOISTURISER FACIAL 50-150ML,69295,5.5213752,3.5,130,.44999999
520216,DEODORANT/ANTI PERSPI 50-250ML,66646,1.7774591,1.6900001,23,.49000001
520219,"DISP NAPPIES, SPEC TYPE, 20-60",74217,5.368845,5.5100002,16.790001,.69999999
520301,MAN'S HAIRCUT,115567,10.540139,8,76.879997,1.1
520303,WOMEN'S HRDRESSING-CUT/BLOWDRY,115497,21.715305,18.5,110,3.5
610204,"CAR TYRE, STATE SIZE",84993,47.804527,39.599998,487.63,10.58
610303,OIL PER LITRE-MULTIGRADE,132672,5.078145,3.99,34.990002,.49000001
620303,SELF-DRIVE VAN HIRE,104418,47.441223,45.754997,275.98999,13
620304,PUSHCHAIR/STROLLER,69428,134.00948,99.989998,1495,10
630309,BOXED BOARD GAME: NOT TRAVEL,56826,13.667363,13.835,44.950001,1
630312,CHILD'S PLASTIC DOLL,58643,11.816723,10,50,.49000001
630313,MODEL RD VEHICLE EG HOT WHEELS,57026,3.6419008,1.6900001,30.99,.15000001
630314,CONSTRUCTION TOY: SPEC KIT NO,54427,14.495344,12.99,114.99,.75
630317,"SLEEPING BAG, ADULT",54404,33.160248,22.99,380,4
630505,GARDEN SPADE,51333,16.667824,15,51.880001,2
640212,THEATRE ADULT EVES-FRONT STLLS,39340,15.385415,11,174.75,1.5
