quote_date,observations,year,month,quarter,date
198802,62939,1988,2,1,1
198803,62254,1988,3,1,2
198804,63927,1988,4,2,3
198805,63406,1988,5,2,4
198806,63031,1988,6,2,5
198807,61851,1988,7,3,6
198809,57724,1988,9,3,7
198810,62764,1988,10,4,8
198811,61255,1988,11,4,9
198812,64278,1988,12,4,10
198901,59685,1989,1,1,11
198903,70706,1989,3,1,12
198904,25622,1989,4,2,13
198905,70784,1989,5,2,14
198906,71329,1989,6,2,15
198907,68932,1989,7,3,16
198908,68518,1989,8,3,17
198909,69175,1989,9,3,18
198910,68487,1989,10,4,19
198911,70195,1989,11,4,20
198912,66048,1989,12,4,21
199001,66311,1990,1,1,22
199002,73083,1990,2,1,23
199003,73393,1990,3,1,24
199004,73934,1990,4,2,25
199005,74083,1990,5,2,26
199006,74544,1990,6,2,27
199007,72275,1990,7,3,28
199008,73141,1990,8,3,29
199009,73686,1990,9,3,30
199010,74839,1990,10,4,31
199011,78652,1990,11,4,32
199012,76124,1990,12,4,33
199101,70614,1991,1,1,34
199102,80620,1991,2,1,35
199103,83905,1991,3,1,36
199104,85766,1991,4,2,37
199105,87757,1991,5,2,38
199106,91118,1991,6,2,39
199107,91558,1991,7,3,40
199108,90622,1991,8,3,41
199109,97449,1991,9,3,42
199110,101203,1991,10,4,43
199111,105665,1991,11,4,44
199112,109181,1991,12,4,45
199201,103304,1992,1,1,46
199202,99116,1992,2,1,47
199203,98391,1992,3,1,48
199204,102963,1992,4,2,49
199205,105211,1992,5,2,50
199206,107310,1992,6,2,51
199207,105930,1992,7,3,52
199208,106585,1992,8,3,53
199209,108570,1992,9,3,54
199210,109027,1992,10,4,55
199211,110068,1992,11,4,56
199212,109457,1992,12,4,57
199301,105690,1993,1,1,58
199302,110088,1993,2,1,59
199303,111687,1993,3,1,60
199304,112724,1993,4,2,61
199305,114620,1993,5,2,62
199306,114573,1993,6,2,63
199307,114738,1993,7,3,64
199308,114592,1993,8,3,65
199309,115315,1993,9,3,66
199310,115651,1993,10,4,67
199311,115291,1993,11,4,68
199312,116199,1993,12,4,69
199401,115205,1994,1,1,70
199402,110388,1994,2,1,71
199403,110279,1994,3,1,72
199404,109353,1994,4,2,73
199405,119067,1994,5,2,74
199406,118695,1994,6,2,75
199407,120570,1994,7,3,76
199408,106634,1994,8,3,77
199409,116814,1994,9,3,78
199410,115660,1994,10,4,79
199411,117297,1994,11,4,80
199412,116315,1994,12,4,81
199501,115148,1995,1,1,82
199502,110133,1995,2,1,83
199503,113822,1995,3,1,84
199504,119189,1995,4,2,85
199505,121754,1995,5,2,86
199506,123384,1995,6,2,87
199507,123162,1995,7,3,88
199508,122786,1995,8,3,89
199509,123415,1995,9,3,90
199510,123492,1995,10,4,91
199511,124808,1995,11,4,92
199512,125879,1995,12,4,93
199601,135408,1996,1,1,94
199602,128879,1996,2,1,95
199603,130055,1996,3,1,96
199604,133400,1996,4,2,97
199605,137447,1996,5,2,98
199606,141075,1996,6,2,99
199607,141114,1996,7,3,100
199608,115650,1996,8,3,101
199609,115367,1996,9,3,102
199610,116066,1996,10,4,103
199611,115843,1996,11,4,104
199612,118682,1996,12,4,105
199701,115198,1997,1,1,106
199702,111216,1997,2,1,107
199703,110302,1997,3,1,108
199704,113726,1997,4,2,109
199705,116191,1997,5,2,110
199706,118238,1997,6,2,111
199707,117317,1997,7,3,112
199708,116676,1997,8,3,113
199709,117704,1997,9,3,114
199710,117099,1997,10,4,115
199711,117659,1997,11,4,116
199712,117241,1997,12,4,117
199801,115152,1998,1,1,118
199802,103493,1998,2,1,119
199803,105832,1998,3,1,120
199804,107681,1998,4,2,121
199805,109251,1998,5,2,122
199806,111444,1998,6,2,123
199807,109571,1998,7,3,124
199808,108215,1998,8,3,125
199809,109148,1998,9,3,126
199810,108530,1998,10,4,127
199811,110134,1998,11,4,128
199812,109954,1998,12,4,129
199901,76829,1999,1,1,130
199902,103893,1999,2,1,131
199903,106210,1999,3,1,132
199904,107934,1999,4,2,133
199905,109518,1999,5,2,134
199906,110967,1999,6,2,135
199907,109979,1999,7,3,136
199908,107986,1999,8,3,137
199909,108310,1999,9,3,138
199910,108626,1999,10,4,139
199911,108959,1999,11,4,140
199912,110478,1999,12,4,141
200001,105846,2000,1,1,142
200002,99732,2000,2,1,143
200003,103687,2000,3,1,144
200004,106130,2000,4,2,145
200005,107453,2000,5,2,146
200006,106540,2000,6,2,147
200007,107334,2000,7,3,148
200008,104159,2000,8,3,149
200009,104363,2000,9,3,150
200010,105335,2000,10,4,151
200011,105762,2000,11,4,152
200012,106142,2000,12,4,153
200101,102504,2001,1,1,154
200102,104038,2001,2,1,155
200103,104696,2001,3,1,156
200104,105771,2001,4,2,157
200105,108055,2001,5,2,158
200106,109596,2001,6,2,159
200107,108549,2001,7,3,160
200108,106934,2001,8,3,161
200109,105656,2001,9,3,162
200110,106902,2001,10,4,163
200111,107581,2001,11,4,164
200112,106644,2001,12,4,165
200201,104308,2002,1,1,166
200202,102172,2002,2,1,167
200203,104671,2002,3,1,168
200204,104217,2002,4,2,169
200205,106651,2002,5,2,170
200206,106955,2002,6,2,171
200207,106605,2002,7,3,172
200208,104997,2002,8,3,173
200209,103963,2002,9,3,174
200210,105493,2002,10,4,175
200211,106130,2002,11,4,176
200212,106032,2002,12,4,177
200301,103660,2003,1,1,178
200302,106569,2003,2,1,179
200303,107246,2003,3,1,180
200304,96279,2003,4,2,181
200305,99396,2003,5,2,182
200306,100902,2003,6,2,183
200307,101269,2003,7,3,184
200308,100534,2003,8,3,185
200309,101448,2003,9,3,186
200310,104513,2003,10,4,187
200311,109068,2003,11,4,188
200312,110012,2003,12,4,189
200401,107904,2004,1,1,190
200402,103439,2004,2,1,191
200403,105011,2004,3,1,192
200404,105509,2004,4,2,193
200405,107319,2004,5,2,194
200406,107774,2004,6,2,195
200407,106865,2004,7,3,196
200408,105050,2004,8,3,197
200409,104170,2004,9,3,198
200410,105471,2004,10,4,199
200411,106502,2004,11,4,200
200412,106782,2004,12,4,201
200501,103613,2005,1,1,202
200502,108851,2005,2,1,203
200503,109174,2005,3,1,204
200504,112133,2005,4,2,205
200505,111815,2005,5,2,206
200506,114133,2005,6,2,207
200507,112702,2005,7,3,208
200508,111794,2005,8,3,209
200509,111426,2005,9,3,210
200510,108500,2005,10,4,211
200511,104534,2005,11,4,212
200512,109077,2005,12,4,213
200601,104610,2006,1,1,214
200602,100465,2006,2,1,215
200603,103882,2006,3,1,216
200604,107567,2006,4,2,217
200605,109228,2006,5,2,218
200606,110194,2006,6,2,219
200607,107021,2006,7,3,220
200608,105147,2006,8,3,221
200609,105598,2006,9,3,222
200610,106345,2006,10,4,223
200611,107067,2006,11,4,224
200612,107974,2006,12,4,225
200701,94734,2007,1,1,226
200702,94993,2007,2,1,227
200703,99770,2007,3,1,228
200704,101168,2007,4,2,229
200705,102992,2007,5,2,230
200706,104456,2007,6,2,231
200707,103584,2007,7,3,232
200708,103198,2007,8,3,233
200709,103769,2007,9,3,234
200710,105114,2007,10,4,235
200711,107436,2007,11,4,236
200712,107286,2007,12,4,237
200801,102691,2008,1,1,238
200802,100511,2008,2,1,239
200803,105118,2008,3,1,240
200804,99887,2008,4,2,241
200805,100583,2008,5,2,242
200806,101446,2008,6,2,243
200807,102214,2008,7,3,244
200808,102314,2008,8,3,245
200809,102828,2008,9,3,246
200810,103994,2008,10,4,247
200811,104756,2008,11,4,248
200812,101854,2008,12,4,249
200901,98184,2009,1,1,250
200902,91764,2009,2,1,251
200903,97144,2009,3,1,252
200904,99211,2009,4,2,253
200905,100141,2009,5,2,254
200906,99984,2009,6,2,255
200907,100430,2009,7,3,256
200908,101010,2009,8,3,257
200909,102020,2009,9,3,258
200910,102962,2009,10,4,259
200911,104223,2009,11,4,260
200912,105319,2009,12,4,261
201001,101545,2010,1,1,262
201002,97889,2010,2,1,263
201003,102189,2010,3,1,264
201004,104566,2010,4,2,265
201005,105655,2010,5,2,266
201006,106532,2010,6,2,267
201007,107229,2010,7,3,268
201008,108091,2010,8,3,269
201009,108500,2010,9,3,270
201010,109466,2010,10,4,271
201011,109784,2010,11,4,272
201012,110303,2010,12,4,273
201101,107592,2011,1,1,274
201102,107243,2011,2,1,275
201103,111703,2011,3,1,276
201104,110135,2011,4,2,277
201105,110905,2011,5,2,278
201106,110923,2011,6,2,279
201107,110938,2011,7,3,280
201108,111624,2011,8,3,281
201109,112468,2011,9,3,282
201110,112689,2011,10,4,283
201111,112558,2011,11,4,284
201112,113770,2011,12,4,285
201201,112915,2012,1,1,286
201202,109908,2012,2,1,287
201203,112591,2012,3,1,288
201204,111722,2012,4,2,289
201205,112977,2012,5,2,290
201206,113464,2012,6,2,291
201207,112979,2012,7,3,292
201208,113779,2012,8,3,293
201209,113529,2012,9,3,294
201210,113193,2012,10,4,295
201211,112322,2012,11,4,296
201212,112522,2012,12,4,297
201301,112470,2013,1,1,298
201302,108915,2013,2,1,299
201303,112073,2013,3,1,300
201304,111932,2013,4,2,301
201305,112460,2013,5,2,302
201306,113182,2013,6,2,303
201307,110722,2013,7,3,304
201308,111818,2013,8,3,305
201309,111942,2013,9,3,306
201310,112357,2013,10,4,307
201311,111887,2013,11,4,308
201312,112786,2013,12,4,309
201401,113219,2014,1,1,310
201402,108434,2014,2,1,311
201403,111378,2014,3,1,312
201404,110845,2014,4,2,313
201405,111915,2014,5,2,314
201406,112673,2014,6,2,315
201407,110263,2014,7,3,316
201408,111493,2014,8,3,317
201409,111704,2014,9,3,318
201410,111105,2014,10,4,319
201411,111793,2014,11,4,320
201412,111959,2014,12,4,321
201501,112490,2015,1,1,322
201502,110362,2015,2,1,323
201503,113759,2015,3,1,324
201504,115935,2015,4,2,325
201505,116093,2015,5,2,326
201506,116584,2015,6,2,327
201507,114886,2015,7,3,328
201508,115736,2015,8,3,329
201509,115298,2015,9,3,330
201510,114193,2015,10,4,331
201511,114298,2015,11,4,332
201512,114815,2015,12,4,333
201601,115215,2016,1,1,334
201602,111438,2016,2,1,335
201603,114522,2016,3,1,336
201604,116360,2016,4,2,337
201605,116741,2016,5,2,338
201606,114788,2016,6,2,339
201607,115033,2016,7,3,340
201608,113719,2016,8,3,341
201609,114318,2016,9,3,342
201610,114629,2016,10,4,343
201611,114503,2016,11,4,344
201612,115774,2016,12,4,345
201701,115625,2017,1,1,346
201702,114063,2017,2,1,347
201703,115516,2017,3,1,348
201704,116889,2017,4,2,349
201705,117233,2017,5,2,350
201706,117390,2017,6,2,351
201707,117692,2017,7,3,352
201708,117018,2017,8,3,353
201709,117013,2017,9,3,354
201710,116488,2017,10,4,355
201711,116285,2017,11,4,356
201712,117146,2017,12,4,357
201801,116458,2018,1,1,358
201802,122581,2018,2,1,359
201803,125211,2018,3,1,360
201804,126219,2018,4,2,361
201805,126941,2018,5,2,362
201806,126695,2018,6,2,363
201807,124520,2018,7,3,364
201808,124079,2018,8,3,365
201809,124265,2018,9,3,366
201810,124191,2018,10,4,367
201811,123289,2018,11,4,368
201812,125381,2018,12,4,369
201901,125531,2019,1,1,370
201902,124018,2019,2,1,371
201903,127885,2019,3,1,372
201904,128853,2019,4,2,373
201905,128682,2019,5,2,374
201906,129075,2019,6,2,375
201907,128486,2019,7,3,376
201908,127479,2019,8,3,377
201909,127702,2019,9,3,378
201910,127514,2019,10,4,379
